seq;GEORGE
13104;Sim
13103;Sim
9003;NÃO
9002;NÃO
13102;Sim
8984;NÃO
8979;NÃO
8978;NÃO
8977;NÃO
8971;NÃO
8970;NÃO
13101;Sim
13099;Sim
8965;NÃO
8960;NÃO
13098;Sim
13097;Sim
13096;Sim
8956;NÃO
8954;NÃO
13095;Sim
8952;NÃO
8951;NÃO
8950;NÃO
13094;Sim
13093;Sim
13092;Sim
13091;Sim
13090;Sim
13081;Sim
8909;NÃO
8908;NÃO
8907;NÃO
13080;Sim
8904;NÃO
13079;Sim
10339;SIM
13071;Sim
13069;Sim
10336;SIM
13065;Sim
13064;Sim
10333;SIM
13061;Sim
10331;SIM
10330;SIM
10329;SIM
10328;SIM
13058;Sim
13057;Sim
13055;Sim
10324;SIM
13054;Sim
13049;Sim
10321;SIM
10320;SIM
10319;SIM
13024;Sim
10317;SIM
13023;Sim
13022;Sim
10314;SIM
13020;Sim
13015;Sim
13013;Sim
10310;SIM
10309;SIM
10308;SIM
13006;Sim
26146;Sim
26145;Sim
26143;Sim
26142;Sim
26130;Sim
26127;Sim
22556;Sim
22554;Sim
22312;Sim
22308;Sim
20959;Sim
20949;Sim
13209;Sim
13208;Sim
13186;Sim
13178;Sim
10289;SIM
13176;Sim
10287;SIM
10286;SIM
10285;SIM
10284;SIM
10283;SIM
10282;SIM
13173;Sim
13172;Sim
13171;Sim
13162;Sim
10277;SIM
10276;SIM
13161;Sim
10274;SIM
13159;Sim
10272;SIM
13158;Sim
13157;Sim
13151;Sim
13150;Sim
13149;Sim
13148;Sim
13145;Sim
13140;Sim
13139;Sim
13138;Sim
13137;Sim
10258;SIM
13136;Sim
13134;Sim
10255;SIM
13133;Sim
13131;Sim
10251;SIM
10250;SIM
13130;Sim
13129;Sim
13127;Sim
13125;Sim
10245;NÃO
10244;NÃO
10243;NÃO
13115;Sim
10241;SIM
13111;Sim
13110;Sim
13109;Sim
10236;SIM
13106;Sim
13105;Sim
13104;Sim
10232;SIM
10231;SIM
10230;SIM
13103;Sim
13102;Sim
10227;SIM
10226;SIM
13101;Sim
10224;SIM
13099;Sim
10222;SIM
13098;Sim
13097;Sim
13096;Sim
13095;Sim
13094;Sim
13093;Sim
10215;SIM
10214;SIM
13092;Sim
13091;Sim
13090;Sim
10209;SIM
10208;SIM
10207;SIM
13081;Sim
10205;SIM
13080;Sim
13079;Sim
13071;Sim
13069;Sim
13065;Sim
13064;Sim
13061;Sim
10197;SIM
13058;Sim
13057;Sim
13055;Sim
10191;SIM
13054;Sim
10189;SIM
10188;SIM
10187;SIM
13049;Sim
13024;Sim
13023;Sim
13022;Sim
13020;Sim
13015;Sim
13013;Sim
13006;Sim
45425;Sim
10176;SIM
45378;Sim
45375;Sim
45356;Sim
45288;Sim
10171;SIM
10170;SIM
10169;SIM
44946;Sim
10167;SIM
45425;Sim
45378;Sim
10164;SIM
